X1,X2,Y
52,48,1
47,55,0
5,30,0
67,32,1
44,90,0
53,34,1
21,15,0
93,96,1
82,80,1
98,22,1
12,49,0
23,33,0
80,94,1
75,25,1
58,54,1
80,89,1
57,17,1
34,51,0
83,75,1
55,46,1
1,78,0
37,39,0
29,30,0
97,47,1
30,74,0
100,80,1
27,21,0
37,67,0
67,72,1
17,94,0
32,68,0
7,84,0
49,69,0
97,12,1
77,82,1
98,76,1
74,44,1
74,10,1
94,25,1
8,37,0
45,6,0
20,57,0
42,64,0
5,78,0
43,6,0
53,22,1
88,79,1
70,94,1
34,89,0
100,74,1
42,90,0
73,44,1
78,97,1
45,45,0
71,34,1
29,56,0
31,41,0
94,93,1
21,10,0
33,4,0
72,3,1
76,71,1
68,32,1
70,22,1
68,45,1
84,44,1
97,69,1
41,28,0
67,87,1
5,52,0
2,4,0
2,15,0
87,97,1
3,29,0
8,73,0
36,85,0
37,7,0
30,31,0
79,56,1
60,42,1
60,19,1
97,60,1
55,22,1
75,85,1
90,88,1
100,54,1
77,4,1
67,49,1
69,42,1
14,66,0
60,61,1
69,47,1
1,37,0
57,18,1
25,75,0
90,1,1
14,29,0
11,44,0
41,40,0
32,21,0
